g_advertiser_id,pod,pod_channel,pod_sub_channel,pod_sector,ultimate_parent_name,legal_entity_name,advertiser_account_name,sfdc_ultimate_parent_account_id,sfdc_legal_entity_account_id,sfdc_account_id,service_model_tier,"Eligible for Avatria
form for service request",primary_msot,sentiment,last_28d_spend,last_90d_spend,last_365d_spend,cpc_spend_90d,ocpm_spend_90d,lower_funnel_spend_90d,catalog_sales_spend_90d,conversion_spend_90d,shopping_conversion_spend_90d,consideration_spend_90d,awareness_vc_spend_90d,awareness_spend_90d,creative_count_90d,high_impact_spend_365d,web_eqs_score,web_eqs_status,web blocker,web resolution timing,app_eqs_score,app_eqs_status,app blocker,app resolution timing,offline_eqs_score,offline_eqs_status,offline blocker,offline resolution timing,Notes,,,,pplus_campaigns_revenue,pplus_campaigns_eligible_spend,pplus_campaigns_pct_rev,full_pplus_feature_adoption_pct_rev,pplus_bidding_pct_rev,pplus_budgets_pct_rev,pplus_targeting_pct_rev,pplus_creative_pct_rev,pplus_roas_bidding_pct_rev,dt
549769513116,#N/A,Greater China,Greater China,Greater China,Alibaba Group,AE_Consideration_US_local,US_Ad_Account,0011N00001LW3SA,001PW000010Pix1YAC,001PW000010QGguYAG,1_t200,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A,,,#N/A,#N/A,,,,,,,7281.182508,7281.182508,1,1,1,1,0,1,0,2026-02-03
549768508730,EX-GCR-KAM-01-PIN,Greater China,Greater China,Greater China,Alibaba Group,AE_TAC_Shopping_AU_01,AE_TAC_Shopping_AU_01,0011N00001LW3SA,001Pr00000JP1j5IAD,001Pr00000JP7jbIAD,1_t200,No,Site Analytics / 3P last click attribution,None,7745.877855,29004.86474,90856.63704,0,29004.86474,29004.86474,29004.86474,0,29004.86474,0,0,0,1,0,0,NEEDS IMPROVEMENT,,,4,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,1734.867877,2054.680087,0.8443493897,1,1,1,0,1,0,2026-02-03
549768508734,EX-GCR-KAM-01-PIN,Greater China,Greater China,Greater China,Alibaba Group,AE_TAC_Shopping_CA_01,AE_TAC_Shopping_CA_01,0011N00001LW3SA,001Pr00000JP1j7IAD,001Pr00000JP7jdIAD,1_t200,No,Site Analytics / 3P last click attribution,None,4.29E+03,4286.218617,56805.72121,0,4286.218617,4286.218617,4286.218617,0,4286.218617,0,0,0,1,0,0,NEEDS IMPROVEMENT,,,4,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,7705.9123,7705.9123,1,1,1,1,0,1,1,2026-02-03
549768508705,EX-GCR-KAM-01-PIN,Greater China,Greater China,Greater China,Alibaba Group,AE_TAC_Shopping_DE_01,AE_TAC_Shopping_DE_01,0011N00001LW3SA,001Pr00000JP1izIAD,001Pr00000JP7jVIAT,1_t200,No,Site Analytics / 3P last click attribution,None,9928.334926,37644.6912,183384.7636,0,37644.6912,3.76E+04,37644.6912,0.00E+00,3.76E+04,0,0,0,1,0,0,NEEDS IMPROVEMENT,,,4,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,3405.73297,3405.73297,1,1,1,1,0,1,0,2026-02-03
549768508709,EX-GCR-KAM-01-PIN,Greater China,Greater China,Greater China,Alibaba Group,AE_TAC_Shopping_ES_01,AE_TAC_Shopping_ES_01,0011N00001LW3SA,001Pr00000JP1j1IAD,001Pr00000JP7jXIAT,1_t200,No,Site Analytics / 3P last click attribution,None,105297.0648,237869.8444,674949.6699,0,237869.8444,237869.8444,237869.8444,0.00E+00,237869.8444,0.00E+00,0,0,1,0,0,NEEDS IMPROVEMENT,,,4,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,58204.97323,435915.3905,0.1335235564,0.9435029702,1,0.9448465161,0,0.9986564541,0.790877321,2026-02-03
549768508710,EX-GCR-KAM-01-PIN,Greater China,Greater China,Greater China,Alibaba Group,AE_TAC_Shopping_FR_01,AE_TAC_Shopping_FR_01,0011N00001LW3SA,001Pr00000JP1j2IAD,001Pr00000JP7jYIAT,1_t200,No,Site Analytics / 3P last click attribution,None,33552.10076,95694.12811,285803.9267,0.00E+00,95694.12811,95694.12811,95694.12811,0,95694.12811,0,0,0,1,0,0,NEEDS IMPROVEMENT,,,4,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,0,11552.97,0,0,1,1,0,0,0,2026-02-03
549768508733,EX-GCR-KAM-01-PIN,Greater China,Greater China,Greater China,Alibaba Group,AE_TAC_Shopping_IT_01,AE_TAC_Shopping_IT_01,0011N00001LW3SA,001Pr00000JP1j6IAD,001Pr00000JP7jcIAD,1_t200,No,Site Analytics / 3P last click attribution,None,10529.2296,26479.3274,59185.50114,0,26479.3274,26479.3274,26479.3274,0,26479.3274,0,0,0,1,0.00E+00,0,NEEDS IMPROVEMENT,,,4,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,null,null,null,null,null,null,null,null,null,2026-02-03
549768508708,EX-GCR-KAM-01-PIN,Greater China,Greater China,Greater China,Alibaba Group,AE_TAC_Shopping_Others_01,AE_TAC_Shopping_Others_01,0011N00001LW3SA,001Pr00000JP1j0IAD,001Pr00000JP7jWIAT,1_t200,No,Site Analytics / 3P last click attribution,None,115032.8249,360105.9523,1105941.767,0,360105.9523,360105.9523,360105.9523,0,360105.9523,0,0,0,2,0,0,NEEDS IMPROVEMENT,,,4,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,0,9377.17215,0,1,1,1,0,0,0,2026-02-03
549768611475,EX-GCR-KAM-01-PIN,Greater China,Greater China,Greater China,Alibaba Group,AE_TAC_Shopping_PL_01,AE_TAC_Shopping_PL_01,0011N00001LW3SA,001Pr00000KsBZGIA3,001Pr00000KrYUkIAN,1_t200,No,Site Analytics / 3P last click attribution,None,13104.91309,2.43E+04,97977.80516,0,2.43E+04,2.43E+04,2.43E+04,0,2.43E+04,0,0,0,1,0,0,NEEDS IMPROVEMENT,,,4,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,null,null,null,null,null,null,null,null,null,2026-02-03
549768468857,EX-GCR-KAM-01-PIN,Greater China,Greater China,Greater China,Alibaba Group,AEGB-MH-RMKT,AE_TAC_Shopping_GB_01,0011N00001LW3SA,001Pr00000ItS4hIAF,001Pr00000ItUCyIAN,1_t200,No,Site Analytics / 3P last click attribution,None,6999.064708,19482.34767,176807.8255,0.00E+00,19482.34767,19482.34767,19482.34767,0,19482.34767,0.00E+00,0,0,1,0,0,NEEDS IMPROVEMENT,,,4,NEEDS IMPROVEMENT,,,0,N/A,,,,,,,0,2050.255265,0,1,1,1,0.9956994794,0.004300520599,0,2026-02-03
